epoch,train_loss,train_acc,test_loss,test_acc
0,1.097920149564743,35.852581510941185,1.076248327891032,48.74526560306549
1,1.0767462849617004,43.1640625,1.0476913452148438,51.822916666666664
2,1.0507025122642517,46.66836510101954,1.0179942448933919,53.26704581578573
3,1.0320581098397572,48.48845104376475,1.0033541719118755,56.91287914911906
4,1.0270171860853832,47.786458333333336,1.001158058643341,55.16098539034525
5,1.0141791154940922,48.29030781984329,1.003918707370758,54.45075829823812
6,1.003587673107783,50.95957865317663,0.9906376798947653,57.71780411402384
7,1.0027560144662857,50.72746823231379,0.9828700621922811,55.94223539034525
8,1.000798225402832,51.79461042086283,0.9714486797650655,56.93655411402384
9,0.9890758246183395,52.604166666666664,0.9577321211496989,58.42803120613098
10,0.9863404383261999,53.65715573231379,0.971290647983551,55.94223539034525
11,0.9835758010546366,54.141191144784294,0.9572683572769165,56.22632702191671
12,0.9758837769428889,53.475996355215706,0.969083567460378,54.97159163157145
13,0.9778498361508051,54.54030781984329,0.9541509747505188,58.49905411402384
14,0.9696414222319921,54.56012239058813,0.9568397601445516,54.711174964904785
15,0.9629829178253809,56.11696094274521,0.9326173464457194,56.96022709210714
16,0.9657800942659378,54.85733697811762,0.9380191564559937,58.73579581578573
17,0.9629117250442505,57.249207297960915,0.9503992199897766,59.30397709210714
18,0.9467283338308334,57.229393223921456,0.9326553742090861,59.75378751754761
19,0.9507338653008143,56.65194739898046,0.9145177404085795,62.57102290789286
20,0.9428764879703522,57.35960155725479,0.9224657615025839,61.83712085088094
21,0.9300917536020279,58.3050270875295,0.9002526799837748,63.35227290789286
22,0.9338259895642599,59.03249531984329,0.9162478844324747,60.84280411402384
23,0.9341885099808375,57.35960155725479,0.9048055211702982,61.38731042544047
24,0.9235346366961797,59.71184323231379,0.898536205291748,63.11553120613098
25,0.9208084642887115,60.41100571552912,0.9052913983662924,59.84848539034525
26,0.9083284139633179,60.708220303058624,0.896824856599172,62.594697872797646
27,0.9239362825949987,59.82789844274521,0.8960419495900472,61.62405411402384
28,0.9165381193161011,60.427989065647125,0.893559475739797,60.392993688583374
29,0.903504470984141,62.27355102698008,0.8743620912233988,63.849433263142906
30,0.8958434810241064,62.37545311450958,0.8875207304954529,63.13920418421427
31,0.9034746239582697,61.336617171764374,0.8857846061388651,63.66003751754761
32,0.8943499525388082,62.856657803058624,0.8872093558311462,62.90246248245239
33,0.8780040095249811,64.32857811450958,0.8790550629297892,65.4356062412262
34,0.8856921195983887,64.40500468015671,0.8779910802841187,62.689393758773804
35,0.8889486541350683,63.01234165827433,0.8652320901552836,63.61268957455953
36,0.8828114519516627,64.57484165827434,0.8962627450625101,62.736743688583374
