epoch,train_loss,train_acc,test_loss,test_acc,func_loss,lr
0,1.0956022143363953,34.343863278627396,1.0865577856699626,40.31723439693451,1.0865577856699626,0.005
1,1.0795501569906871,41.5307971338431,1.057625412940979,45.43087085088094,1.057625412940979,0.005
2,1.0531407594680786,48.556385934352875,1.0317534605662029,49.24242397149404,1.0317534605662029,0.005
3,1.0372612377007802,47.678894797960915,1.0286171038945515,50.828598936398826,1.0286171038945515,0.005
4,1.0253388037284215,48.79981875419617,1.0039234558741252,56.155302127202354,1.0039234558741252,0.005
5,1.0161548604567845,49.739583333333336,0.9979771176973978,53.882575035095215,0.9979771176973978,0.005
6,1.0075653692086537,50.61424374580383,0.9826826055844625,55.63446879386902,0.9826826055844625,0.005
7,1.0034733414649963,51.10960155725479,0.9755391677220663,58.19128751754761,0.9755391677220663,0.005
8,0.9846246242523193,54.47237342596054,0.9795602957407633,52.67518957455953,0.9795602957407633,0.005
9,0.9794691602389017,52.926856776078544,0.978665828704834,55.208333333333336,0.978665828704834,0.005
10,0.9848182201385498,53.87794375419617,0.9701199332873026,53.125,0.9701199332873026,0.005
11,0.9792066117127737,54.07325625419617,0.9477390050888062,58.14393957455953,0.9477390050888062,0.005
12,0.9762526253859202,54.26007707913717,0.9651603301366171,53.66950730482737,0.9651603301366171,0.005
13,0.9666906992594401,54.34499531984329,0.9538908004760742,55.18465836842855,0.9538908004760742,0.005
14,0.9602861156066259,54.9762229124705,0.9606408874193827,57.220643758773804,0.9606408874193827,0.005
15,0.9582421332597733,57.951200008392334,0.9474047223726908,57.74147709210714,0.9474047223726908,0.005
16,0.9615598370631536,55.338541666666664,0.9393040339152018,56.25,0.9393040339152018,0.005
17,0.9526318162679672,56.663269797960915,0.9503581126530966,55.23200730482737,0.9503581126530966,0.005
18,0.937238002816836,56.790647407372795,0.9571423133214315,57.50473539034525,0.9571423133214315,0.005
19,0.9453847308953603,57.20674842596054,0.9468592802683512,56.510416666666664,0.9468592802683512,0.005
20,0.9398215711116791,58.395606776078544,0.913865307966868,61.766097942988075,0.913865307966868,0.005
21,0.9253432800372442,60.10812968015671,0.9379037419954935,58.02556872367859,0.9379037419954935,0.005
22,0.922524074713389,59.50237760941187,0.9032500386238098,61.83712085088094,0.9032500386238098,0.005
23,0.9250545650720596,58.08140834172567,0.9189356764157613,58.80681872367859,0.9189356764157613,0.005
